# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
28.4114|-46.3027|4.39|1.597|ψ||Phe
28.5918|-42.4969|5.12|-0.060|φ||Phe
28.5989|63.6701|3.35|-0.150|ε|Segin|Cas
28.6600|20.8080|2.64|0.165|β|Sheratan|Ari
28.7339|-67.6473|4.68|0.931|η2||Hyi
28.9627|23.5773|5.76|1.185|||Ari
28.9770|37.2778|5.89|1.599|||
28.9895|-51.6089|3.69|0.844|χ||Eri
29.0001|68.6852|4.97|-0.084|ω||Cas
29.0390|37.2518|5.69|1.060|||And
29.1675|-22.5268|4.92|1.434|||Cet
29.2920|-47.3853|4.82|0.864|||
29.3377|17.8175|5.09|0.921|ι||Ari
29.4323|27.8044|5.84|1.576|||
29.4822|23.5961|4.79|0.290|λ||Ari
29.6396|49.2044|5.70|1.005|||Per
29.6925|-61.5699|2.86|0.290|α||Hyi
29.8987|21.0586|5.89|1.031|||
29.9085|64.6216|5.29|0.002|||
29.9117|-42.0305|5.57|1.052|||
29.9425|-20.8245|5.43|1.640|||Cet
30.0013|-21.0778|3.99|1.554|υ||Cet
30.0382|3.0970|5.89|0.610|||Psc
30.1118|-8.5239|5.43|1.391|AR||Cet
30.3113|-30.0018|5.34|0.883|π||For
30.4266|-44.7135|5.15|1.471|χ||Phe
30.4894|70.9070|4.49|0.164|A||Cas
30.5118|2.7638|3.82|0.024|α|Alrescha|Psc
30.5755|54.4875|4.99|-0.071|g||Per
30.6462|13.4767|5.97|1.584|||
30.7187|64.9015|6.00|0.029|||Cas
30.7415|33.2841|5.50|0.029|ε||Tri
30.7440|-15.3059|5.87|0.966|||
30.7508|64.3900|5.59|0.325|||Cas
30.7985|0.1285|5.42|0.146|||Cet
30.8588|72.4213|3.95|-0.002|||Cas
30.9139|25.9355|5.64|0.537|||Ari
30.9187|-4.1035|5.61|1.589|||
30.9507|-0.3403|5.96|0.851|||Cet
30.9748|42.3297|2.10|1.370|γ1|Almach|And
31.1227|-29.2968|4.68|-0.156|ν||For
31.2809|77.2813|5.27|0.345|||Cas
31.3815|76.1151|5.22|0.954|||Cas
31.6414|22.6483|5.03|0.121|κ||Ari
31.7934|23.4624|2.01|1.151|α|Hamal|Ari
32.1219|37.8591|4.78|0.120|||And
32.1691|58.4236|5.66|0.595|V0472||Per
32.2887|-43.5166|5.84|1.197|||
32.3556|25.9399|4.98|0.339|||Ari
32.3859|34.9873|3.00|0.140|β|Mizan|Tri
32.6567|19.5003|5.68|1.641|||Ari
32.8378|8.5698|5.64|0.569|||Cet
32.8426|-10.0522|6.00|0.418|||
32.8993|-1.8254|5.94|0.967|||Cet
